locus_id,variable,value,gene_tag,gene_name,cond,rep,ccm_gene
HNEAP_RS01080,5% CO2,-0.0157368495110137,other,,5% CO2,0,False
HNEAP_RS01085,5% CO2,-0.00670604221875903,other,,5% CO2,0,False
HNEAP_RS01090,5% CO2,0.0559612918615862,other,,5% CO2,0,False
HNEAP_RS01105,5% CO2,-0.00428580322300448,other,,5% CO2,0,False
HNEAP_RS01110,5% CO2,0.00059537652975028,other,,5% CO2,0,False
HNEAP_RS01115,5% CO2,-1.70621792081612,other,,5% CO2,0,False
HNEAP_RS01120,5% CO2,-0.0529733770424172,other,,5% CO2,0,False
HNEAP_RS01125,5% CO2,-0.000826290843034594,other,,5% CO2,0,False
HNEAP_RS01130,5% CO2,-0.168966085055774,other,,5% CO2,0,False
HNEAP_RS01135,5% CO2,0.307979147253331,other,,5% CO2,0,False
HNEAP_RS01140,5% CO2,0.247536166029252,other,,5% CO2,0,False
HNEAP_RS01145,5% CO2,0.18145644859342,other,,5% CO2,0,False
HNEAP_RS01155,5% CO2,0.157984283964642,other,,5% CO2,0,False
HNEAP_RS01165,5% CO2,-0.0295419457917903,other,,5% CO2,0,False
HNEAP_RS01170,5% CO2,0.0936424344927468,other,,5% CO2,0,False
HNEAP_RS01175,5% CO2,,other,,5% CO2,0,False
HNEAP_RS01180,5% CO2,0.0716838213553694,other,,5% CO2,0,False
HNEAP_RS01185,5% CO2,0.10239835992545697,other,,5% CO2,0,False
HNEAP_RS01195,5% CO2,0.193011768885202,other,,5% CO2,0,False
HNEAP_RS01200,5% CO2,-0.363376765806456,other,,5% CO2,0,False
HNEAP_RS01215,5% CO2,-0.0994302737653772,other,,5% CO2,0,False
HNEAP_RS01220,5% CO2,-0.24397857100770606,other,,5% CO2,0,False
HNEAP_RS01225,5% CO2,0.142051835343607,other,,5% CO2,0,False
HNEAP_RS01235,5% CO2,0.113853274891676,other,,5% CO2,0,False
HNEAP_RS01240,5% CO2,-0.0442397903986643,other,,5% CO2,0,False
HNEAP_RS01245,5% CO2,0.127553525529493,other,,5% CO2,0,False
HNEAP_RS01250,5% CO2,-0.135901966573856,other,,5% CO2,0,False
HNEAP_RS01265,5% CO2,-0.123429471801517,other,,5% CO2,0,False
HNEAP_RS01270,5% CO2,-0.0784801517601428,other,,5% CO2,0,False
HNEAP_RS01275,5% CO2,-0.0953409570435607,other,,5% CO2,0,False
HNEAP_RS01280,5% CO2,-1.56207163028209,other,,5% CO2,0,False
HNEAP_RS01315,5% CO2,-0.0652287022196292,other,,5% CO2,0,False
HNEAP_RS01320,5% CO2,0.0660401622615591,other,,5% CO2,0,False
HNEAP_RS01325,5% CO2,-0.0278611453851592,other,,5% CO2,0,False
HNEAP_RS01330,5% CO2,-0.5733470925015961,other,,5% CO2,0,False
HNEAP_RS01335,5% CO2,-0.0460380677173184,other,,5% CO2,0,False
HNEAP_RS01340,5% CO2,-0.336923090894772,other,,5% CO2,0,False
HNEAP_RS01350,5% CO2,-0.28332452606770503,other,,5% CO2,0,False
HNEAP_RS01355,5% CO2,-0.00914553385433303,other,,5% CO2,0,False
HNEAP_RS01360,5% CO2,-0.17446728833221398,other,,5% CO2,0,False
HNEAP_RS01365,5% CO2,0.0220189090481954,other,,5% CO2,0,False
HNEAP_RS01375,5% CO2,0.013094992642301,other,,5% CO2,0,False
HNEAP_RS01380,5% CO2,0.0597138729066481,other,,5% CO2,0,False
HNEAP_RS01385,5% CO2,-0.141492515178642,other,,5% CO2,0,False
HNEAP_RS01390,5% CO2,-0.0353970040299802,other,,5% CO2,0,False
HNEAP_RS01395,5% CO2,0.28120876786327303,other,,5% CO2,0,False
HNEAP_RS01400,5% CO2,0.0371882686959454,other,,5% CO2,0,False
HNEAP_RS01405,5% CO2,0.0579274102692514,other,,5% CO2,0,False
HNEAP_RS01415,5% CO2,0.164605574507258,other,,5% CO2,0,False
HNEAP_RS01420,5% CO2,0.0228995312942923,other,,5% CO2,0,False
HNEAP_RS01430,5% CO2,0.0560237834964055,other,,5% CO2,0,False
HNEAP_RS01435,5% CO2,0.0307634818670212,other,,5% CO2,0,False
HNEAP_RS01440,5% CO2,0.143515759836495,other,,5% CO2,0,False
HNEAP_RS01445,5% CO2,-0.227704915967102,other,,5% CO2,0,False
HNEAP_RS01450,5% CO2,-0.0532500797360181,other,,5% CO2,0,False
HNEAP_RS01455,5% CO2,0.0708319352124119,other,,5% CO2,0,False
HNEAP_RS01460,5% CO2,0.0122797362633669,other,,5% CO2,0,False
HNEAP_RS01465,5% CO2,0.170281158899181,other,,5% CO2,0,False
HNEAP_RS01470,5% CO2,-0.00320323717521342,other,,5% CO2,0,False
HNEAP_RS01475,5% CO2,0.0125148714011283,other,,5% CO2,0,False
HNEAP_RS01480,5% CO2,-0.130938668698985,other,,5% CO2,0,False
HNEAP_RS01485,5% CO2,-0.1382126479116,other,,5% CO2,0,False
HNEAP_RS01490,5% CO2,-0.6049312510116059,other,,5% CO2,0,False
HNEAP_RS01495,5% CO2,-0.375974074281242,other,,5% CO2,0,False
HNEAP_RS01530,5% CO2,-0.372966890365215,other,,5% CO2,0,False
HNEAP_RS01735,5% CO2,0.206431589883304,other,,5% CO2,0,False
HNEAP_RS01740,5% CO2,-0.16237104453795,other,,5% CO2,0,False
HNEAP_RS01750,5% CO2,-0.0998993800618828,other,,5% CO2,0,False
HNEAP_RS01760,5% CO2,-0.508714178375673,other,,5% CO2,0,False
HNEAP_RS01765,5% CO2,0.207233197567177,other,,5% CO2,0,False
HNEAP_RS01785,5% CO2,-0.342407795998799,other,,5% CO2,0,False
HNEAP_RS01810,5% CO2,-0.0706016713843468,other,,5% CO2,0,False
HNEAP_RS01820,5% CO2,0.017344238030809,other,,5% CO2,0,False
HNEAP_RS01825,5% CO2,-0.4028948951437771,other,,5% CO2,0,False
HNEAP_RS01830,5% CO2,,other,,5% CO2,0,False
HNEAP_RS01850,5% CO2,-0.0415294516960009,other,,5% CO2,0,False
HNEAP_RS01855,5% CO2,0.0368707731522649,other,,5% CO2,0,False
HNEAP_RS01860,5% CO2,0.0987879807361268,other,,5% CO2,0,False
HNEAP_RS01870,5% CO2,0.176814561477214,other,,5% CO2,0,False
HNEAP_RS01875,5% CO2,0.0140005109016209,other,,5% CO2,0,False
HNEAP_RS01885,5% CO2,0.00239925227004795,other,,5% CO2,0,False
HNEAP_RS01890,5% CO2,-0.12856353324491598,other,,5% CO2,0,False
HNEAP_RS01900,5% CO2,0.0448275333784397,other,,5% CO2,0,False
HNEAP_RS01905,5% CO2,-1.7575208726877098,other,,5% CO2,0,False
HNEAP_RS01920,5% CO2,-0.415157077107661,other,,5% CO2,0,False
HNEAP_RS01925,5% CO2,-0.68129424563841,other,,5% CO2,0,False
HNEAP_RS01930,5% CO2,-0.321992396039246,other,,5% CO2,0,False
HNEAP_RS01935,5% CO2,-1.19459544899916,other,,5% CO2,0,False
HNEAP_RS01940,5% CO2,-0.775675594629743,other,,5% CO2,0,False
